105,355,90,235,120,170,105,80
105,80,115,65,128.3335,80,140,80
140,80,140,110,135,145,140,170
140,170,170,150,225,100,220,80
220,80,240,80,233.3335,103.3335,240,115
240,115,210,155,170,175,145,205
145,205,140,215,220,308.3335,260,355
260,355,250,370,225,345,210,355
210,355,180,330,155,250,140,255
140,255,125,275,145,325,140,355
140,355,130,365,120,365,105,355
360,355,355,270,385,170,360,80
360,80,385,95,420,70,440,80
440,80,456.6665,143.3335,485,305,500,320
500,320,510,320,505,115,495,80
495,80,515,70,535,80,540,80
540,80,550,125,520,255,545,350
545,350,510,345,485,360,460,350
460,350,440,270,420,190,400,125
400,125,410,198.3335,385,265,400,355
400,355,385,365,375,345,360,355
